"N" "K_means" "K_sd" "lambda_means" "lambda_sd" "c_means" "c_sd" "fitness_means" "fitness_sd" "r"
"142" 662 949.947871344154 0.109692271965891 1.77874964564263 0.0949417251831604 -1.80414595509449 0.117955629785965 1.6474145161347 0.0575702570825746 0.696880344669108
"143" 1157 949.953498485532 0.112722618081035 1.78072598900884 0.0916312131983888 -1.80784550662615 0.117891896051349 0.471693690636351 0.0293412604832755 1.21795435444425
"144" 556 949.948650259396 0.113189341112467 1.78745267051262 0.0853409141673958 -1.8118448775415 0.113342437225536 1.74019473910476 0.0703780747528874 0.585294794458813
"145" 977 949.950887265261 0.113545487729676 1.79080435658831 0.0816709685597725 -1.80975108186904 0.120912933477066 0.920435819968242 0.00346715878761175 1.02847422229649
"146" 908 949.949295735709 0.114394905299237 1.79165259438715 0.0772958459771175 -1.80875783757032 0.126011407194779 1.12379105378844 0.00531418389116366 0.95584048967243
"147" 999 949.952462955321 0.115857781289696 1.78776733439662 0.0806212142631851 -1.8178623746971 0.129491085929726 0.856450658841728 0.00711443570542972 1.05163156995466
"148" 849 949.944966606116 0.112695000354136 1.789733199827 0.0813962014754965 -1.81278492880929 0.131510029799507 1.29036388539748 0.0125225334462443 0.893735984552069
"149" 1091 949.946235946038 0.114013535807069 1.79191319266921 0.0760766596250531 -1.81183487846728 0.130008003257484 0.614846071842137 0.0199231013548025 1.14848604975363
"150" 678 949.939027816223 0.111379830931585 1.79521481843604 0.0734171853998349 -1.80732937173091 0.123136388076869 1.63868217601731 0.0390505307347176 0.713730018608275
"151" 1161 949.940775459891 0.111580930213491 1.79338124330625 0.0759575419612739 -1.80944550719876 0.122531323628327 0.466476631352188 0.0245859257198741 1.22218145593122
"152" 584 949.929487629394 0.104231000038067 1.79299211567072 0.0735551803344814 -1.79757632162822 0.109600017591232 1.72782253223181 0.0559096183400808 0.614782473441694
"153" 987 949.923403016847 0.0993584183846394 1.79571617853375 0.0753527211545454 -1.79203518727811 0.103723163138129 0.892067548335988 0.00405332163522333 1.03903114384318
"154" 881 949.920326060667 0.0965220576755315 1.79616974972208 0.0765939967744272 -1.79244119246299 0.100260652761208 1.20083098817941 0.00701962723091187 0.927446203465842
"155" 1059 949.918339421452 0.0957930555062182 1.7965591020557 0.0745479803972329 -1.79135851361095 0.101757135031758 0.696090908625501 0.0123144939623773 1.11483267145362
"156" 737 949.917139091421 0.0956591332204913 1.80033949462836 0.0720554253557059 -1.79423494599975 0.10142961375677 1.54724041770077 0.0286201886741294 0.775857145503162
"157" 1167 949.915822019677 0.0981223015918325 1.80177248439234 0.0713152261963833 -1.79811018219869 0.103992033884912 0.458323733347498 0.0197776021339057 1.22852991070174
"158" 520 949.91167628245 0.0991836200149501 1.80351059325867 0.0682330628063136 -1.79432216078447 0.105661037861605 1.76986429238551 0.0588859156541122 0.547419315904252
"159" 932 949.912139171518 0.0997291322231055 1.80774702851813 0.0678707579379136 -1.79755666141321 0.108041237617602 1.05285000670116 0.00220051671054126 0.981143372704827
"160" 942 949.904699455392 0.0939215212436107 1.80991009829593 0.0679144814913506 -1.79222632009858 0.10873605871726 1.0232662567614 0.00106769923324596 0.991678428941425
"161" 939 949.905316597119 0.0939756505703239 1.81088747017511 0.0666801339689593 -1.79495453874585 0.105820009420346 1.03213851955417 0.00138200977902579 0.988519575154937
"162" 930 949.90849219664 0.0982251616668426 1.80952275956724 0.0675965636884968 -1.79498546100142 0.108677646806539 1.05869527592163 0.00243889729884859 0.979041673634687
"163" 1011 949.908218685941 0.0988743301443071 1.80396811434469 0.0684525339531811 -1.79703838589288 0.110911228197866 0.824042978448458 0.00688460029982464 1.06431335166104
"164" 850 949.90812986753 0.09813781945499 1.80336438265458 0.0713238600797592 -1.79650092137064 0.110817335601882 1.28776378113984 0.0122983119840188 0.89482337636013
"165" 1029 949.909648048071 0.0994450440606515 1.80200587616567 0.0725538799716198 -1.79514914414234 0.111032034485397 0.774755572004243 0.00876245954662914 1.08326092077752
"166" 810 949.915386913679 0.105932206299188 1.80001813317767 0.0713013489833467 -1.79537059141698 0.114159258439185 1.39060482601121 0.0184611453787395 0.852707526542684
"167" 1104 949.920338066896 0.110029407689096 1.80003038804781 0.0712731624200404 -1.80108346567679 0.116028875565665 0.587147834842861 0.0162682631603045 1.16220271927924
"168" 629 949.921855975649 0.109306662969843 1.79929143897349 0.0748193330669398 -1.80179029646883 0.117047360171576 1.69684794974229 0.0522299003757382 0.662159730343255
"169" 1111 949.922421908885 0.109491985163378 1.80438097164831 0.0735713715444136 -1.80446383125558 0.117027636230672 0.571421594540013 0.0167751405289625 1.16956919257409
